symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2023-05-10 08:56:00+00:00,1842.3,1842.3,1841.88,1841.9,1.61,3.0,1842.0888198758
ETH/USD,2023-05-10 08:57:00+00:00,1841.85,1841.85,1841.3,1841.4,3.3994,6.0,1841.5333470612
ETH/USD,2023-05-10 08:58:00+00:00,1841.85,1842.32,1841.3,1841.3,5.6437,9.0,1841.442806315
ETH/USD,2023-05-10 09:00:00+00:00,1840.31,1840.31,1839.41,1839.41,1.0558,5.0,1840.2635840121
ETH/USD,2023-05-10 09:01:00+00:00,1840.57,1840.58,1840.57,1840.58,2.0968,2.0,1840.5761846623
ETH/USD,2023-05-10 09:02:00+00:00,1841.69,1841.69,1841.46,1841.54,2.8178,5.0,1841.4827234012
ETH/USD,2023-05-10 09:03:00+00:00,1841.4,1841.4,1840.64,1840.64,0.0611,2.0,1840.7370212766
ETH/USD,2023-05-10 09:04:00+00:00,1841.29,1841.68,1839.99,1839.99,1.3703,9.0,1841.4662869445
ETH/USD,2023-05-10 09:05:00+00:00,1840.1,1840.1,1840.1,1840.1,0.0114,1.0,1840.1
ETH/USD,2023-05-10 09:06:00+00:00,1839.99,1841.05,1839.99,1841.05,3.6219,7.0,1840.0333231177
ETH/USD,2023-05-10 09:07:00+00:00,1841.05,1841.05,1841.05,1841.05,0.0272,2.0,1841.05
ETH/USD,2023-05-10 09:08:00+00:00,1840.69,1840.86,1839.58,1839.58,0.0242,3.0,1840.3609917355
ETH/USD,2023-05-10 09:09:00+00:00,1839.4,1839.4,1838.84,1838.85,0.7314,4.0,1838.8889581624
ETH/USD,2023-05-10 09:10:00+00:00,1838.76,1838.79,1838.29,1838.29,1.4077,5.0,1838.7855295873
ETH/USD,2023-05-10 09:11:00+00:00,1838.29,1838.87,1837.5,1838.78,5.0327,19.0,1838.1969479603
ETH/USD,2023-05-10 09:12:00+00:00,1838.78,1838.78,1838.17,1838.66,0.0373,4.0,1838.5216621984
ETH/USD,2023-05-10 09:13:00+00:00,1838.66,1839.47,1838.66,1839.47,0.1651,5.0,1839.0491217444
ETH/USD,2023-05-10 10:08:00+00:00,1843.76,1843.85,1843.1,1843.85,1.1724,6.0,1843.1802038553
ETH/USD,2023-05-10 10:09:00+00:00,1844.07,1844.53,1844.07,1844.47,1.9343,5.0,1844.4483136018
ETH/USD,2023-05-10 10:10:00+00:00,1844.63,1844.63,1844.4,1844.58,1.8072,5.0,1844.4856961045
ETH/USD,2023-05-10 10:11:00+00:00,1844.27,1844.5,1844.27,1844.29,3.3748,6.0,1844.3151825293
ETH/USD,2023-05-10 10:12:00+00:00,1844.59,1844.6,1844.59,1844.6,1.3,3.0,1844.5976923077
ETH/USD,2023-05-10 10:13:00+00:00,1844.7,1844.7,1844.59,1844.59,4.9443,5.0,1844.6122478409
ETH/USD,2023-05-10 10:16:00+00:00,1844.75,1844.84,1844.75,1844.84,0.993,3.0,1844.7543867069
ETH/USD,2023-05-10 10:17:00+00:00,1844.44,1844.44,1844.44,1844.44,0.6649,1.0,1844.44
ETH/USD,2023-05-10 10:19:00+00:00,1844.33,1844.84,1844.33,1844.84,0.8346,2.0,1844.3511430625
ETH/USD,2023-05-10 10:20:00+00:00,1844.45,1845.81,1844.45,1845.0,8.6457,17.0,1845.2865239368
ETH/USD,2023-05-10 10:21:00+00:00,1844.25,1844.63,1844.25,1844.63,1.18,3.0,1844.627359322
ETH/USD,2023-05-10 10:22:00+00:00,1844.88,1844.88,1844.75,1844.75,1.4,2.0,1844.815
ETH/USD,2023-05-10 10:23:00+00:00,1844.49,1845.69,1844.49,1844.96,3.2274,8.0,1845.1112170788
ETH/USD,2023-05-10 10:25:00+00:00,1844.57,1844.57,1843.43,1843.66,4.231,15.0,1844.0558295911
ETH/USD,2023-05-10 10:26:00+00:00,1843.66,1843.84,1841.94,1843.02,17.7437,33.0,1843.0120568427
ETH/USD,2023-05-10 10:27:00+00:00,1843.17,1843.43,1843.17,1843.43,6.4457,7.0,1843.2763096328
ETH/USD,2023-05-10 12:03:00+00:00,1851.08,1851.69,1850.77,1850.77,1.8141,9.0,1851.1581621741
ETH/USD,2023-05-10 16:00:00+00:00,1876.81,1877.61,1876.81,1877.61,5.3946,22.0,1877.4352912171
ETH/USD,2023-05-10 16:01:00+00:00,1878.78,1878.78,1876.91,1877.23,7.873708779,14.0,1877.710627949
ETH/USD,2023-05-10 16:02:00+00:00,1877.6826,1878.98,1877.68,1878.11,4.6392,18.0,1878.0209724953
